District_Code,RO_Code,Book,Deed_year,Deed_no,Serial_No,Serial_Year,tran_maj_code,tran_min_code,Volume_No,Page_From,Page_To,Date_of_Completion,Date_of_Delivery,Deed_Remarks,Scan_doc_type,hold,Exception_Type
"12","06","1","2005","00269","00269","2005","01","01","8","199","206","2018/11/14","2018/11/15",,"H","N",
"12","06","1","2005","00270","00270","2005","01","01","8","207","216","2018/11/14","2018/11/15",,"H","N",
"12","06","1","2005","00271","00271","2005","01","01","8","217","226","2018/11/14","2018/11/15",,"H","N",
"12","06","1","2005","00272","00272","2005","02","01","8","227","234","2018/11/14","2018/11/15",,"H","N",
"12","06","1","2005","00273","00273","2005","02","01","8","235","242","2018/11/14","2018/11/15",,"H","N",
"12","06","1","2005","00274","00274","2005","01","01","8","243","250","2018/11/14","2018/11/15",,"H","N",
"12","06","1","2005","00275","00275","2005","01","01","8","251","260","2018/11/14","2018/11/15",,"H","N",
"12","06","1","2005","00276","00276","2005","01","01","8","261","266","2018/11/14","2018/11/15",,"H","N",
"12","06","1","2005","00277","00277","2005","02","01","8","267","272","2018/11/14","2018/11/15",,"H","N",
"12","06","1","2005","00278","00278","2005","01","01","8","273","283","2018/11/14","2018/11/15",,"H","N",
"12","06","1","2005","00279","00279","2005","01","01","8","283","288","2018/11/14","2018/11/15",,"H","N",
"12","06","1","2005","00280","00280","2005","02","01","8","289","298","2018/11/14","2018/11/15",,"H","N",
"12","06","1","2005","00281","00281","2005","01","01","8","299","304","2018/11/14","2018/11/15",,"H","N",
