"111","09","07","Meerut",NULL,NULL
"111","09","08","Baghpat",NULL,NULL
"111","09","09","Ghaziabad",NULL,NULL
"111","09","10","Gautam Buddha Nagar",NULL,NULL
"111","09","11","Bulandshahr",NULL,NULL
"111","09","12","Aligarh",NULL,NULL
"111","09","13","Hathras",NULL,NULL
"111","09","14","Mathura",NULL,NULL
"111","09","15","Agra",NULL,NULL
"111","09","16","Firozabad",NULL,NULL
"111","09","17","Etah",NULL,NULL
"111","09","18","Mainpuri",NULL,NULL
"111","09","19","Budaun",NULL,NULL
"111","09","20","Bareilly",NULL,NULL
"111","09","21","Pilibhit",NULL,NULL
"111","09","22","Shahjahanpur",NULL,NULL
"111","09","23","Kheri",NULL,NULL
"111","09","24","Sitapur",NULL,NULL
"111","09","25","Hardoi",NULL,NULL
"111","09","26","Unnao",NULL,NULL
"111","09","27","Lucknow",NULL,NULL
"111","09","28","Rae Bareli",NULL,NULL
"111","09","29","Farrukhabad",NULL,NULL
"111","09","30","Kannauj",NULL,NULL
"111","09","31","Etawah",NULL,NULL
"111","09","32","Auraiya",NULL,NULL
"111","09","33","Kanpur Dehat",NULL,NULL
"111","09","34","Kanpur Nagar",NULL,NULL
"111","09","35","Jalaun",NULL,NULL
"111","09","36","Jhansi",NULL,NULL
"111","09","37","Lalitpur",NULL,NULL
"111","09","38","Hamirpur",NULL,NULL
"111","09","39","Mahoba",NULL,NULL
"111","09","40","Banda",NULL,NULL
"111","09","41","Chitrakoot",NULL,NULL
"111","09","42","Fatehpur",NULL,NULL
"111","09","43","Pratapgarh",NULL,NULL
"111","09","44","Kaushambi",NULL,NULL
"111","09","45","Allahabad",NULL,NULL
"111","09","46","Barabanki",NULL,NULL
"111","09","47","Faizabad",NULL,NULL
"111","09","48","Ambedkar Nagar",NULL,NULL
"111","09","49","Sultanpur",NULL,NULL
"111","09","50","Bahraich",NULL,NULL
"111","09","51","Shrawasti",NULL,NULL
"111","09","52","Balrampur",NULL,NULL
"111","09","53","Gonda",NULL,NULL
"111","09","54","Siddharthnagar",NULL,NULL
"111","09","55","Basti",NULL,NULL
"111","09","56","Sant Kabir Nagar",NULL,NULL
"111","09","57","Maharajganj",NULL,NULL
"111","09","58","Gorakhpur",NULL,NULL
"111","09","59","Kushinagar",NULL,NULL
"111","09","60","Deoria",NULL,NULL
"111","09","61","Azamgarh",NULL,NULL
"111","09","62","Mau",NULL,NULL
"111","09","63","Ballia",NULL,NULL
"111","09","64","Jaunpur",NULL,NULL
"111","09","65","Ghazipur",NULL,NULL
"111","09","66","Chandauli",NULL,NULL
"111","09","67","Varanasi",NULL,NULL
"111","09","68","Sant Ravidas Nagar Bhadohi",NULL,NULL
"111","09","69","Mirzapur",NULL,NULL
